t,balanced_sigma,growth_rate,M_norm,parent_M_norm
34,0.22,0.0003,0.9267205843994356,7.73692740706347
35,0.22,0.0003,0.9182186663716301,7.73692740706347
36,0.22,0.0003,0.860562625563986,7.73692740706347
37,0.22,0.0003,0.7577932174094281,7.73692740706347
38,0.22,0.0003,0.8089805873806974,7.73692740706347
39,0.22,0.0003,0.8947663943664443,7.73692740706347
40,0.22,0.0003,0.9539653452988889,7.73692740706347
41,0.22,0.0003,0.9999999999984823,7.73692740706347
42,0.22,0.0003,0.9368641978596309,7.73692740706347
43,0.22,0.0003,0.9108418589233473,7.73692740706347
44,0.22,0.0003,0.9394457011371109,7.73692740706347
45,0.22,0.0003,0.9192052970394164,7.73692740706347
46,0.22,0.0003,0.9480653498567206,7.73692740706347
47,0.22,0.0003,0.9043048192002154,7.73692740706347
48,0.22,0.0003,0.7658563727367191,7.73692740706347
49,0.22,0.0003,0.8503375337615252,7.73692740706347
50,0.22,0.0003,0.8357966121964776,7.73692740706347
51,0.22,0.0003,0.9195981281096729,7.73692740706347
52,0.22,0.0003,0.9709384465221156,7.73692740706347
53,0.22,0.0003,0.9128403751041542,7.73692740706347
54,0.22,0.0003,0.849053133591771,7.73692740706347
55,0.22,0.0003,0.8120771180142683,7.73692740706347
56,0.22,0.0003,0.8052713511113345,7.73692740706347
57,0.22,0.0003,0.8285867312580949,7.73692740706347
58,0.22,0.0003,0.7971096750823565,7.73692740706347
59,0.22,0.0003,0.8348383062391422,7.73692740706347
60,0.22,0.0003,0.7504250006124524,7.73692740706347
61,0.22,0.0003,0.7669365243054473,7.73692740706347
62,0.22,0.0003,0.7729660906260754,7.73692740706347
63,0.22,0.0003,0.8425492677836277,7.73692740706347
64,0.22,0.0003,0.8517439626616191,7.73692740706347
65,0.22,0.0003,0.9043668250856169,7.73692740706347
66,0.22,0.0003,0.9630329216278425,7.73692740706347
67,0.22,0.0003,0.9023540214332667,7.73692740706347
68,0.22,0.0003,0.9569914252747173,7.73692740706347
69,0.22,0.0003,0.9777629551912804,7.73692740706347
70,0.22,0.0003,0.9332932748394832,7.73692740706347
71,0.22,0.0003,0.7979558658338038,7.73692740706347
72,0.22,0.0003,0.8165384950448268,7.73692740706347
73,0.22,0.0003,0.8231530320602473,7.73692740706347
74,0.22,0.0003,0.8058661839803204,7.73692740706347
75,0.22,0.0003,0.7957242279621969,7.73692740706347
76,0.22,0.0003,0.7661264397446619,7.73692740706347
77,0.22,0.0003,0.7987080457277257,7.73692740706347
78,0.22,0.0003,0.7921690375501343,7.73692740706347
79,0.22,0.0003,0.7225284217736693,7.73692740706347
80,0.22,0.0003,0.7597420925666045,7.73692740706347
81,0.22,0.0003,0.667479412465204,7.73692740706347
82,0.22,0.0003,0.6080433729546562,7.73692740706347
83,0.22,0.0003,0.5971710409871003,7.73692740706347
84,0.22,0.0003,0.6964412199221597,7.73692740706347
85,0.22,0.0003,0.6917838408120783,7.73692740706347
86,0.22,0.0003,0.6061647456627274,7.73692740706347
87,0.22,0.0003,0.5489387699896898,7.73692740706347
88,0.22,0.0003,0.6166021606990049,7.73692740706347
89,0.22,0.0003,0.6595628225426038,7.73692740706347
90,0.22,0.0003,0.5973156614516001,7.73692740706347
91,0.22,0.0003,0.5876178351108235,7.73692740706347
92,0.22,0.0003,0.5955155096151595,7.73692740706347
93,0.22,0.0003,0.7682970265620656,7.73692740706347
94,0.22,0.0003,0.6706503541813964,7.73692740706347
95,0.22,0.0003,0.639152862768313,7.73692740706347
96,0.22,0.0003,0.6764383795873917,7.73692740706347
97,0.22,0.0003,0.6742396539476699,7.73692740706347
98,0.22,0.0003,0.6676393733982213,7.73692740706347
99,0.22,0.0003,0.6096704879175833,7.73692740706347
100,0.22,0.0003,0.5761686606805592,7.73692740706347
101,0.22,0.0003,0.5477252840562538,7.73692740706347
102,0.22,0.0003,0.507777781766837,7.73692740706347
103,0.22,0.0003,0.47057868382954665,7.73692740706347
104,0.22,0.0003,0.44626101900301507,7.73692740706347
105,0.22,0.0003,0.4278850204077607,7.73692740706347
106,0.22,0.0003,0.4282722502496983,7.73692740706347
107,0.22,0.0003,0.33444748383800693,7.73692740706347
108,0.22,0.0003,0.2773116351198646,7.73692740706347
109,0.22,0.0003,0.27250288295644254,7.73692740706347
110,0.22,0.0003,0.30751314705752036,7.73692740706347
111,0.22,0.0003,0.3118851173785982,7.73692740706347
112,0.22,0.0003,0.3338540774092633,7.73692740706347
113,0.22,0.0003,0.24263278924413637,7.73692740706347
114,0.22,0.0003,0.16684774372923664,7.73692740706347
115,0.22,0.0003,0.07892878624324721,7.73692740706347
116,0.22,0.0003,0.12353701402042017,7.73692740706347
117,0.22,0.0003,0.023043299209245156,7.73692740706347
118,0.22,0.0003,0.025900538475528985,7.73692740706347
119,0.22,0.0003,0.0009531845875353424,7.73692740706347
120,0.22,0.0003,0.06895576145180987,7.73692740706347
121,0.22,0.0003,0.08052109709896324,7.73692740706347
122,0.22,0.0003,0.0,7.73692740706347
123,0.22,0.0003,0.05484935610734418,7.73692740706347
124,0.22,0.0003,0.13706125703666805,7.73692740706347
125,0.22,0.0003,0.08012394334170606,7.73692740706347
126,0.22,0.0003,0.13237352726182997,7.73692740706347
127,0.22,0.0003,0.20989786025251947,7.73692740706347
128,0.22,0.0003,0.19837073353175935,7.73692740706347
129,0.22,0.0003,0.21158439511290383,7.73692740706347
130,0.22,0.0003,0.21307388574633299,7.73692740706347
131,0.22,0.0003,0.13780884311532812,7.73692740706347
132,0.22,0.0003,0.10558637664021084,7.73692740706347
133,0.22,0.0003,0.1783889284540603,7.73692740706347
134,0.22,0.0003,0.1367181333560514,7.73692740706347
135,0.22,0.0003,0.11783039834524829,7.73692740706347
136,0.22,0.0003,0.1495857019694953,7.73692740706347
137,0.22,0.0003,0.12118192600238868,7.73692740706347
138,0.22,0.0003,0.18481670543244932,7.73692740706347
139,0.22,0.0003,0.22191546215125513,7.73692740706347
140,0.22,0.0003,0.3077492581116329,7.73692740706347
141,0.22,0.0003,0.3937130478510028,7.73692740706347
142,0.22,0.0003,0.3822091506744006,7.73692740706347
143,0.22,0.0003,0.342181983565971,7.73692740706347
144,0.22,0.0003,0.4714548214587016,7.73692740706347
145,0.22,0.0003,0.44744332469196796,7.73692740706347
146,0.22,0.0003,0.4062771645389005,7.73692740706347
147,0.22,0.0003,0.42153076619185326,7.73692740706347
148,0.22,0.0003,0.3880585961303793,7.73692740706347
149,0.22,0.0003,0.42163734557626825,7.73692740706347
